Category,Description,Region_Index,Value,Brain_Region,ggseg,Hemisphere,Base_Region
Functional hierarchy,Margulies PG1,41,1.3727193,ctx-rh-inferiortemporal,ctx-rh-inferiortemporal,Right,inferiortemporal
Functional hierarchy,Margulies PG1,42,2.2419844,ctx-rh-isthmuscingulate,ctx-rh-isthmuscingulate,Right,isthmuscingulate
Functional hierarchy,Margulies PG1,43,-3.010024,ctx-rh-lateraloccipital,ctx-rh-lateraloccipital,Right,lateraloccipital
Functional hierarchy,Margulies PG1,44,3.3538616,ctx-rh-lateralorbitofrontal,ctx-rh-lateralorbitofrontal,Right,lateralorbitofrontal
Functional hierarchy,Margulies PG1,45,-4.165232,ctx-rh-lingual,ctx-rh-lingual,Right,lingual
Functional hierarchy,Margulies PG1,46,5.1965995,ctx-rh-medialorbitofrontal,ctx-rh-medialorbitofrontal,Right,medialorbitofrontal
Functional hierarchy,Margulies PG1,47,4.1886597,ctx-rh-middletemporal,ctx-rh-middletemporal,Right,middletemporal
Functional hierarchy,Margulies PG1,48,0.49705568,ctx-rh-parahippocampal,ctx-rh-parahippocampal,Right,parahippocampal
Functional hierarchy,Margulies PG1,49,-4.8124423,ctx-rh-paracentral,ctx-rh-paracentral,Right,paracentral
Functional hierarchy,Margulies PG1,50,0.51379144,ctx-rh-parsopercularis,ctx-rh-parsopercularis,Right,parsopercularis
Functional hierarchy,Margulies PG1,51,5.794305,ctx-rh-parsorbitalis,ctx-rh-parsorbitalis,Right,parsorbitalis
Functional hierarchy,Margulies PG1,52,1.5688435,ctx-rh-parstriangularis,ctx-rh-parstriangularis,Right,parstriangularis
Functional hierarchy,Margulies PG1,53,-3.6867254,ctx-rh-pericalcarine,ctx-rh-pericalcarine,Right,pericalcarine
Functional hierarchy,Margulies PG1,54,-5.0036554,ctx-rh-postcentral,ctx-rh-postcentral,Right,postcentral
